RB,EDE,param,symbol
1.93079500435947,0.751857401716247,kc12f1,FRS2 -> Grb2
1.19678963419423,1.03131168937067,kc01f,IGF -> IGFR
1.19666937163351,1.03164719383895,kc04f,IGFR -> IRS
1.19218012379002,0.82459195869724,kc02f,FGF -> FGFR4
1.19130555349288,1.0323524023901,kc05f1,IRS -> PI3K
1.18306145501353,0.988752092721954,kc03f2,FOXO -> ERBB
1.09292032350972,0.854560173991022,kc05f2,GAB1/2 -> PI3K
1.08144545464532,0.958261377603068,ki16f1,AKT -| Raf
1.07966657120681,0.760622858592837,kc11f,FGFR4 -> FRS2
1.07017127847779,0.70347963153805,kc19f,Grb2 -> GAB1
1.04753158252663,1.00462017633865,ki11r,ERK -| FRS2
1.04208620186195,0.994317583506509,kc14f1,Grb2 -> Shp2
1.03275804266621,1.00847483454469,ki19f,ERK -| GAB1
1.03225686659198,0.977200688992011,kc21,ERK -> mSPRY2
1.03028932283735,1.01442740818549,kc08f1,mTORC2 -> AKT
1.02780600544279,0.995361318740995,ki15f,ERK -| Sos
1.01940352984595,1.01915100148748,ki20f1,ERK -| GAB2
1.01825854677263,1.02706631747658,kc05f4,ERBB -> PI3K
1.01194526830137,0.999426933484874,kc27b,AKT -> mPTP
1.00691025281108,1.02013788934699,kc12f3,IRS -> Grb2
1.003555878373,0.962918879121036,ki16f2,SPRY2 -| Raf
1.00318453369769,0.998755269852674,kc32f,AKT -| FOXO
1.00172824628513,0.999748257495099,ki20f2,AKT -| GAB2
0.999300704374655,0.999645603469895,ki33f,S6K -| mTORC2
0.997920569521907,0.999988210652712,kc09f1,ERK -> mTORC1
0.997725051321767,0.812843865535322,kc15f2,Shp2 ->Ras
0.99637845586789,1.00162239077523,ki11f,Cbl -| FRS2
0.996132274547966,1.00013280879666,alpha20f,PIP3 -> GAB2
0.993542233141054,1.00065057182691,kc20f,Grb2 -> GAB2
0.987819297434889,1.00256178660222,kc15f1,Sos -> Ras
0.985607603833957,1.00220168722782,kc13f,Grb2 -> Sos
0.981194926997411,1.00274023971356,ki03f,ERK -| ERBB
0.973483484774009,0.994131201245437,kc09f,AKT -> mTORC1
0.972193064382536,0.825961602487288,kc14f2,GAB1/2 -> Shp2
0.970472390318902,0.993474595741197,kc10f,mTORC1 -> S6K
0.970092124004562,0.99249100265088,ki04f,S6K -| IRS
0.96469306718233,0.931188149548568,kc07f,PIP3 -> PDK1
0.951888816896448,0.927945827582831,kc08f,PDK1 -> AKT
0.946938911329083,1.04291800442589,ki12f,SPRY2 -| Grb2
0.915698812291454,0.748799831382831,alpha19f,PIP3 ->  GAB1
0.906611206005678,0.86049834887741,kc05f3,Ras -> PI3K
0.904399279085564,1.00060112360813,kc27a,ERK -> mPTP
0.839064197281371,1.04230975882304,ki02r1,PTP  -| FGFR4
0.799880173537435,0.933930049121792,ki01r,PTP  -| IGFR
0.79491869150197,0.994464669183752,kc03f,HRG -> ERBB
0.775197954087782,1.03162259424534,kc31f,GRB2 -> Cbl
0.741523629497448,0.957150406947621,kc12f2,ERBB -> Grb2
0.706936553969928,0.924421488859135,kc25f,FRS2 -> pSPRY2
0.704811159461151,0.886900265751597,kc16f,Ras -> Raf
0.704742135990591,0.8868859553655,kc17f,Raf -> MEK
0.704521731927267,0.88685473488664,kc18f,MEK -> ERK
0.669289689345252,1.05791533472284,ki02r2,Cbl -| FGFR4
0.57861551409067,0.755956971453774,kc06f,PI3K -> PIP3
0.422761165681066,0.701052268726933,kc06r,PTEN -| PIP3
0.323771430510221,0.738638457360468,ki03r,PTP -| ERBB
