PL_score1,PL_score2,PL_score3,PL_score4,PL_score5,PL_score6,PL_score7,PL_score8
1,1365.70410331009,1395.7989946944,1359.8762230409,1359.37233665551,1367.95257471498,1364.57655494574,1364.60563997949
2,1371.30782664388,1359.87780517619,1359.77585081616,1362.10097927076,1364.63322397816,1359.81261726719,1359.99696368041
3,1430.04919518658,1379.49277984069,1361.96091393163,1364.56747881395,1364.61558058804,1364.44890589537,1364.33708722572
4,1359.37966321786,1352.58009953986,1382.06959084531,1364.37441509082,1359.75057569828,1364.27840534655,1360.08131020694
5,1364.34151766825,1364.5772730717,1364.26799203323,1364.6818358892,1364.64439412303,1364.39432521986,1359.17959526719
6,1364.28099523888,1364.43778877534,1364.28681998517,1364.67198509633,1364.59174495582,1364.62992475531,1364.55682759073
7,1364.61359274028,1364.64056897945,1364.55670388437,1362.62910794639,1364.54223531839,1363.06905648562,1364.61156181731
8,1369.10949425521,1364.58612242445,1364.65851757999,1364.63015431832,1364.34732459143,1364.65591281315,1364.67033739807
9,1363.3139881618,1364.68509834524,1361.24556429689,1364.51546238109,1359.51075067748,1441.78598791432,1357.18853805109
10,1383.85687429459,1359.91925992917,1365.35454678597,1364.60738446996,1363.84615100724,1365.11956641879,1375.36860962492
11,1426.91470403293,1377.32692759345,1364.86207213498,1363.57455697704,1359.60479562107,1359.74435899732,1363.70216404634
12,1364.68517510846,1363.17254695934,1364.61450948609,1361.61522971498,1364.608516782,1360.30330604269,1367.57271135089
13,1364.22944047513,1364.50133045921,1364.75389117611,1364.61264074199,1364.74613083729,1364.60173566564,1364.6759457396
14,1357.27187761472,1358.65189435151,1360.79703342925,1364.70110579558,1359.81978470931,1364.52298779454,1361.0595245086
15,1354.03314859692,1356.1059749257,1358.25212549073,1359.63155402471,1356.32806439966,1468.94530364034,1358.56242114613
16,1364.58317708314,1361.5124595283,1359.99444321246,1364.28992042005,1364.81207099097,1359.1668819178,1363.88413914861
17,1361.8188148164,1361.10338645995,1364.63477238323,1364.65036260247,1364.37296389615,1361.49797016338,1364.27152189563
18,1364.31524062879,1362.90294048868,1363.88322668929,1364.31061179831,1361.96893963058,1364.6768194309,1363.40908394223
19,1363.9485322174,1364.73365677269,1364.21781568218,1364.10689818992,1359.53129259304,1359.47222351339,1364.20132373563
20,1364.5632446161,1364.60653316444,1359.23521408178,1363.87576065709,1356.97045438246,1369.7373903959,1049.70400433
21,1441.224132653,1358.10479750812,1364.56306081311,1364.30354616065,1359.96542587794,1366.58081219093,1369.30323196493
22,1364.60184207081,1362.25768040255,1364.37491635475,1364.295594028,1356.58608481805,1331.57593841753,1378.54274619336
23,784.748339726119,1364.19610870855,1364.64105774881,1364.63694457132,1359.5855830337,1364.41590338954,1363.76718886918
24,1385.28262581893,1373.82928208132,1359.30326967357,1364.65624315198,1360.90629130003,1142.10932932312,1358.51570370325
25,1393.50230029123,1488.61585589954,1072.90265917401,1364.16562195053,1359.71603207585,1363.69899628204,1364.63546857237
26,1416.4976900889,1429.05075156167,1402.41100338328,1364.5594895693,1359.2339841755,1358.879395206,1356.27370079448
27,1349.25883342427,1359.99357086522,1423.73058766281,1364.21177915987,1440.11559426575,1358.57828353535,1457.3803617794
28,1370.44088277799,1359.39574193131,1359.1903083725,1359.85377900811,1359.96142925506,1431.63806096148,754.798392130375
29,1364.82733540702,1364.4291817582,1364.64786970279,1363.69155563398,1360.97116545427,1364.66727267071,1364.51752445215
30,1364.72876458718,1356.32825147992,675.430296941074,1364.57848264277,1359.7971401186,1358.47823875124,1359.46149062332
31,1357.3154532519,1423.53936928316,1364.63882944868,1364.65606556967,1359.90824453642,1364.43237348868,1364.4138290916
32,1363.45147146844,1478.90222456316,1359.86284396165,1359.98227646167,1364.57147685705,1364.53629539993,1363.77476659724
33,1374.02913300743,1361.46894740931,1364.20319635977,1362.94438927342,1362.78673467487,1359.67941566277,1361.1838273319
34,1359.59792487186,1378.62741897779,1357.79501064736,1363.23453868462,1364.45969522288,1363.15493090204,1365.28078966885
35,1358.96556783332,1359.53379455539,1358.4147533553,1364.62877702143,1357.57532898547,1081.67809433241,1399.953656683
36,1385.24883958521,278.109984042852,1358.86062475213,1364.64706902785,1430.90796530782,1357.64208060293,1408.97029001282
37,1359.7296691319,1359.6782685869,1198.51408808291,1359.91115359954,1364.75072217922,1366.98712069214,1359.44011815298
38,1359.8597853105,1431.01784717144,1376.47752786138,1361.01514087187,1394.27861747104,1359.87756344673,1359.3539087873
